gr,phi2t,phict
0.96,0.040990125800000006,0.017063078199999998
0.75,0.0424232421,0.017080180700000003
0.54,0.0418888604,0.017661650799999998
0.33,0.040011121899999995,0.0170293437
1.77,0.0541737687,0.024554860399999996
1.42,0.0541528964,0.022387176999999998
1.58,0.0519367115,0.0226442651
1.32,0.05069339486,0.021118625199999998
2.19,0.0550139712,0.0284395053
0.95,0.0406919947,0.0172816576
0.73,0.042645214800000004,0.01673552
0.53,0.041350561,0.017316596899999998
0.35,0.0387622389,0.016987653899999997
1.45,0.0488752048,0.0200309604
0.96,0.0368616368,0.0169596909
0.95,0.037057543,0.0168789182
0.96,0.0424539044,0.016913767
0.96,0.04213119200000001,0.017026728799999998
0.96,0.0421968167,0.017189811299999996
0.96,0.0409028924,0.0166972128
0.96,0.0425336208,0.0175370578
0.67,0.040092737700000006,0.017882715
0.67,0.040938930840000005,0.017904409500000003
0.67,0.039994513999999995,0.017614075
1.45,0.0516668182,0.0223377866
1.17,0.04745968489999999,0.0203936339
0.98,0.042292026699999985,0.018110110800000002
