temt,apf
1.000000000000000000e+01,7.613010453670514543e-01
1.040404040404041552e+01,7.121235902242090132e-01
1.080808080808083105e+01,6.604715311099167430e-01
1.121212121212118973e+01,6.079420084241434763e-01
1.161616161616160525e+01,5.560458082255670398e-01
1.202020202020202078e+01,5.060452779620273622e-01
1.242424242424243630e+01,4.588714954868111651e-01
1.282828282828285182e+01,4.151156411957429015e-01
1.323232323232321050e+01,3.750707878295042041e-01
1.363636363636362603e+01,3.387972296091996127e-01
1.404040404040404155e+01,3.061908489821050239e-01
1.444444444444445708e+01,2.770428531756826129e-01
1.484848484848487260e+01,2.510864159132711326e-01
1.525252525252523128e+01,2.280301819490158921e-01
1.565656565656564680e+01,2.075806623540016327e-01
1.606060606060606233e+01,1.894561269953217442e-01
1.646464646464647785e+01,1.733944229963959305e-01
1.686868686868689338e+01,1.591566854577704526e-01
1.727272727272725206e+01,1.465284071322105752e-01
1.767676767676766758e+01,1.353189021502511358e-01
1.808080808080808310e+01,1.253598640770524353e-01
1.848484848484849863e+01,1.165034750126441587e-01
1.888888888888891415e+01,1.086203527989884482e-01
1.929292929292927283e+01,1.015975090263813579e-01
1.969696969696968836e+01,9.533641550581985202e-02
2.010101010101010388e+01,8.975122893134719615e-02
2.050505050505051940e+01,8.476719368789696618e-02
2.090909090909087809e+01,8.031922494432053306e-02
2.131313131313129361e+01,7.635066406561402674e-02
2.171717171717170913e+01,7.281219314874787241e-02
2.212121212121212466e+01,6.966089326824839723e-02
2.252525252525254018e+01,6.685943060259985637e-02
2.292929292929295571e+01,6.437535522465999416e-02
2.333333333333331439e+01,6.218049849536597118e-02
2.373737373737372991e+01,6.025045639691875565e-02
2.414141414141414543e+01,5.856414760265575559e-02
2.454545454545456096e+01,5.710343650238670216e-02
2.494949494949491964e+01,5.585281272892862747e-02
2.535353535353533516e+01,5.479911994147450977e-02
2.575757575757575069e+01,5.393132770491115141e-02
2.616161616161616621e+01,5.324034126745654655e-02
2.656565656565658173e+01,5.271884488965548204e-02
2.696969696969699726e+01,5.236117512908355226e-02
2.737373737373735594e+01,5.216322114940240284e-02
2.777777777777777146e+01,5.212234971308637999e-02
2.818181818181818699e+01,5.223735304720937556e-02
2.858585858585860251e+01,5.250841825143610225e-02
2.898989898989896119e+01,5.293711735967836229e-02
2.939393939393937671e+01,5.352641757907933978e-02
2.979797979797979224e+01,5.428071162386578080e-02
3.020202020202020776e+01,5.520586844306046154e-02
3.060606060606062329e+01,5.630930501870463900e-02
3.101010101010103881e+01,5.760008029186734074e-02
3.141414141414139749e+01,5.908901266220439874e-02
3.181818181818181301e+01,6.078882290920684800e-02
3.222222222222222854e+01,6.271430480097807403e-02
3.262626262626264406e+01,6.488252609245147295e-02
3.303030303030300274e+01,6.731306306524635630e-02
3.343434343434341827e+01,7.002827222159654919e-02
3.383838383838383379e+01,7.305360319842811589e-02
3.424242424242424931e+01,7.641795739513083940e-02
3.464646464646466484e+01,8.015409716725477307e-02
3.505050505050508036e+01,8.429911067299637739e-02
3.545454545454543904e+01,8.889493747646183552e-02
3.585858585858585457e+01,9.398895967568782206e-02
3.626262626262627009e+01,9.963466243931710931e-02
3.666666666666668561e+01,1.058923661055437559e-01
3.707070707070704429e+01,1.128300290119744337e-01
3.747474747474745982e+01,1.205241153796049319e-01
3.787878787878787534e+01,1.290605150341261054e-01
3.828282828282829087e+01,1.385354903411687155e-01
3.868686868686870639e+01,1.490566088573505865e-01
3.909090909090912191e+01,1.607435957239623237e-01
3.949494949494948060e+01,1.737290049900592492e-01
3.989898989898989612e+01,1.881585604420484559e-01
4.030303030303031164e+01,2.041909502976488322e-01
4.070707070707072717e+01,2.219967725654039270e-01
4.111111111111108585e+01,2.417562167988767663e-01
4.151515151515150137e+01,2.636549354261421008e-01
4.191919191919191690e+01,2.878774149742555633e-01
4.232323232323233242e+01,3.145970324373137950e-01
4.272727272727274794e+01,3.439619308580219581e-01
4.313131313131310662e+01,3.760759674986819956e-01
4.353535353535352215e+01,4.109744223431939236e-01
4.393939393939393767e+01,4.485950839587367067e-01
4.434343434343435320e+01,4.887469108666515072e-01
4.474747474747476872e+01,5.310807008529357942e-01
4.515151515151512740e+01,5.750687245161880679e-01
4.555555555555554292e+01,6.200021607756743824e-01
4.595959595959595845e+01,6.650149325771825826e-01
4.636363636363637397e+01,7.091387009678348230e-01
4.676767676767678950e+01,7.513859974683279042e-01
4.717171717171714818e+01,7.908487227826681565e-01
4.757575757575756370e+01,8.267917305951884011e-01
4.797979797979797922e+01,8.587203273692445293e-01
4.838383838383839475e+01,8.864076755861615142e-01
4.878787878787881027e+01,9.098802481529384423e-01
4.919191919191916895e+01,9.293709457471479585e-01
4.959595959595958448e+01,9.452556213171212640e-01
5.000000000000000000e+01,9.579884712229479460e-01
