tem,gr
1.000000000000000000e+01,1.282161905718628492e-04
1.040404040404041552e+01,2.031610373691896808e-04
1.080808080808083105e+01,3.188413697171053386e-04
1.121212121212118973e+01,4.955843071843739431e-04
1.161616161616160525e+01,7.628177901563850359e-04
1.202020202020202078e+01,1.162543974165999644e-03
1.242424242424243630e+01,1.753772551254416910e-03
1.282828282828285182e+01,2.617930398897530975e-03
1.323232323232321050e+01,3.865048599471993147e-03
1.363636363636362603e+01,5.640148341818701158e-03
1.404040404040404155e+01,8.128670898700016481e-03
1.444444444444445708e+01,1.155906369746297242e-02
1.484848484848487260e+01,1.619994103448445938e-02
1.525252525252523128e+01,2.234901143510052701e-02
1.565656565656564680e+01,3.031181502822829360e-02
1.606060606060606233e+01,4.037072263388753052e-02
1.646464646464647785e+01,5.274837418875853723e-02
1.686868686868689338e+01,6.757336625435640676e-02
1.727272727272725206e+01,8.485735024356527711e-02
1.767676767676766758e+01,1.044902836876113739e-01
1.808080808080808310e+01,1.262550639287021437e-01
1.848484848484849863e+01,1.498568740916066400e-01
1.888888888888891415e+01,1.749591137096884463e-01
1.929292929292927283e+01,2.012178226999344066e-01
1.969696969696968836e+01,2.283090701547790535e-01
2.010101010101010388e+01,2.559470677621544232e-01
2.050505050505051940e+01,2.838933951925640686e-01
2.090909090909087809e+01,3.119591774226283531e-01
2.131313131313129361e+01,3.400024741189152100e-01
2.171717171717170913e+01,3.679229243300195518e-01
2.212121212121212466e+01,3.956552046407378898e-01
2.252525252525254018e+01,4.231623444889893171e-01
2.292929292929295571e+01,4.504295129073699888e-01
2.333333333333331439e+01,4.774585787813543925e-01
2.373737373737372991e+01,5.042635424420521817e-01
2.414141414141414543e+01,5.308668156588046694e-01
2.454545454545456096e+01,5.572962644183709902e-01
2.494949494949491964e+01,5.835829033234096741e-01
2.535353535353533516e+01,6.097591267483714050e-01
2.575757575757575069e+01,6.358573698340631575e-01
2.616161616161616621e+01,6.619091055582962957e-01
2.656565656565658173e+01,6.879440987289182630e-01
2.696969696969699726e+01,7.139898517660503430e-01
2.737373737373735594e+01,7.400711896040730320e-01
2.777777777777777146e+01,7.662099416028069765e-01
2.818181818181818699e+01,7.924246870037022772e-01
2.858585858585860251e+01,8.187305373681793563e-01
2.898989898989896119e+01,8.451389348132017920e-01
2.939393939393937671e+01,8.716574489659590919e-01
2.979797979797979224e+01,8.982895586101117269e-01
3.020202020202020776e+01,9.250344061986568445e-01
3.060606060606062329e+01,9.518865149256681146e-01
3.101010101010103881e+01,9.788354590208474537e-01
3.141414141414139749e+01,1.005865478474443186e+00
3.181818181818181301e+01,1.032955029606948516e+00
3.222222222222222854e+01,1.060076262856097129e+00
3.262626262626264406e+01,1.087194418930931272e+00
3.303030303030300274e+01,1.114267134159272477e+00
3.343434343434341827e+01,1.141243645501044179e+00
3.383838383838383379e+01,1.168063885417269576e+00
3.424242424242424931e+01,1.194657456672582718e+00
3.464646464646466484e+01,1.220942477367674250e+00
3.505050505050508036e+01,1.246824287223342154e+00
3.545454545454543904e+01,1.272194007630765400e+00
3.585858585858585457e+01,1.296926950579317506e+00
3.626262626262627009e+01,1.320880875698442258e+00
3.666666666666668561e+01,1.343894100910219436e+00
3.707070707070704429e+01,1.365783481300208990e+00
3.747474747474745982e+01,1.386342283771679673e+00
3.787878787878787534e+01,1.405338003044147577e+00
3.828282828282829087e+01,1.422510189107493161e+00
3.868686868686870639e+01,1.437568389172575456e+00
3.909090909090912191e+01,1.450190350571515907e+00
3.949494949494948060e+01,1.460020687293734021e+00
3.989898989898989612e+01,1.466670284255943368e+00
4.030303030303031164e+01,1.469716801894715097e+00
4.070707070707072717e+01,1.468706750095112090e+00
4.111111111111108585e+01,1.463159723188301564e+00
4.151515151515150137e+01,1.452575520867969150e+00
4.191919191919191690e+01,1.436445010160428470e+00
4.232323232323233242e+01,1.414265686439158287e+00
4.272727272727274794e+01,1.385562925674865609e+00
4.313131313131310662e+01,1.349917822183713367e+00
4.353535353535352215e+01,1.307002185966252839e+00
4.393939393939393767e+01,1.256620616114351829e+00
4.434343434343435320e+01,1.198758445749636303e+00
4.474747474747476872e+01,1.133632671578010731e+00
4.515151515151512740e+01,1.061740742943670934e+00
4.555555555555554292e+01,9.838995169727667855e-01
4.595959595959595845e+01,9.012643705201717204e-01
4.636363636363637397e+01,8.153174159263412157e-01
4.676767676767678950e+01,7.278153338255353155e-01
4.717171717171714818e+01,6.406926844179769986e-01
4.757575757575756370e+01,5.559258205334549618e-01
4.797979797979797922e+01,4.753738829684185374e-01
4.838383838383839475e+01,4.006228929820830342e-01
4.878787878787881027e+01,3.328620272854889706e-01
4.919191919191916895e+01,2.728150671823946771e-01
4.959595959595958448e+01,2.207362310392631255e-01
5.000000000000000000e+01,1.764635251061407728e-01
