tem,phi1t
1.000000000000000000e+01,6.341466042168349138e-02
1.040404040404041552e+01,6.523612450061574974e-02
1.080808080808083105e+01,6.726541563627332077e-02
1.121212121212118973e+01,6.946289549445334999e-02
1.161616161616160525e+01,7.177957557668289412e-02
1.202020202020202078e+01,7.416264924215899834e-02
1.242424242424243630e+01,7.656075811875197312e-02
1.282828282828285182e+01,7.892804265659170149e-02
1.323232323232321050e+01,8.122658751889395845e-02
1.363636363636362603e+01,8.342735197092628063e-02
1.404040404040404155e+01,8.550994502782488516e-02
1.444444444444445708e+01,8.746167555345320255e-02
1.484848484848487260e+01,8.927625324008836571e-02
1.525252525252523128e+01,9.095241251728847232e-02
1.565656565656564680e+01,9.249262693109039368e-02
1.606060606060606233e+01,9.390199870124928128e-02
1.646464646464647785e+01,9.518735175772244372e-02
1.686868686868689338e+01,9.635652288732522719e-02
1.727272727272725206e+01,9.741782846155686015e-02
1.767676767676766758e+01,9.837967771061215116e-02
1.808080808080808310e+01,9.925030317649592704e-02
1.848484848484849863e+01,1.000375817827551389e-01
1.888888888888891415e+01,1.007489240210254350e-01
1.929292929292927283e+01,1.013912130130214945e-01
1.969696969696968836e+01,1.019707791242646239e-01
2.010101010101010388e+01,1.024933991603180633e-01
2.050505050505051940e+01,1.029643119207780677e-01
2.090909090909087809e+01,1.033882440609758674e-01
2.131313131313129361e+01,1.037694418939838770e-01
2.171717171717170913e+01,1.041117060428686653e-01
2.212121212121212466e+01,1.044184268072494842e-01
2.252525252525254018e+01,1.046926188103524807e-01
2.292929292929295571e+01,1.049369540022209307e-01
2.333333333333331439e+01,1.051537924585564110e-01
2.373737373737372991e+01,1.053452106701986829e-01
2.414141414141414543e+01,1.055130271937310127e-01
2.454545454545456096e+01,1.056588256508382978e-01
2.494949494949491964e+01,1.057839751391397021e-01
2.535353535353533516e+01,1.058896481621116048e-01
2.575757575757575069e+01,1.059768362095602351e-01
2.616161616161616621e+01,1.060463631291396758e-01
2.656565656565658173e+01,1.060988964285284608e-01
2.696969696969699726e+01,1.061349566403449185e-01
2.737373737373735594e+01,1.061549248702050169e-01
2.777777777777777146e+01,1.061590486341880135e-01
2.818181818181818699e+01,1.061474460765474831e-01
2.858585858585860251e+01,1.061201086428035373e-01
2.898989898989896119e+01,1.060769022678057366e-01
2.939393939393937671e+01,1.060175671237251066e-01
2.979797979797979224e+01,1.059417159593791374e-01
3.020202020202020776e+01,1.058488310504830110e-01
3.060606060606062329e+01,1.057382597707306054e-01
3.101010101010103881e+01,1.056092087866368351e-01
3.141414141414139749e+01,1.054607368756944052e-01
3.181818181818181301e+01,1.052917463685111854e-01
3.222222222222222854e+01,1.051009732227375232e-01
3.262626262626264406e+01,1.048869757513616469e-01
3.303030303030300274e+01,1.046481220529011935e-01
3.343434343434341827e+01,1.043825762289549014e-01
3.383838383838383379e+01,1.040882835297219228e-01
3.424242424242424931e+01,1.037629546450494350e-01
3.464646464646466484e+01,1.034040494640764835e-01
3.505050505050508036e+01,1.030087607680349182e-01
3.545454545454543904e+01,1.025739985082096961e-01
3.585858585858585457e+01,1.020963755661837696e-01
3.626262626262627009e+01,1.015721962097310554e-01
3.666666666666668561e+01,1.009974488617168126e-01
3.707070707070704429e+01,1.003678053075846982e-01
3.747474747474745982e+01,9.967862909801739058e-02
3.787878787878787534e+01,9.892499667206215708e-02
3.828282828282829087e+01,9.810173564184498929e-02
3.868686868686870639e+01,9.720348573894652122e-02
3.909090909090912191e+01,9.622478909534244729e-02
3.949494949494948060e+01,9.516021774826435853e-02
3.989898989898989612e+01,9.400454738191940662e-02
4.030303030303031164e+01,9.275298711113873218e-02
4.070707070707072717e+01,9.140147519197290571e-02
4.111111111111108585e+01,8.994704933327356267e-02
4.151515151515150137e+01,8.838829696387147383e-02
4.191919191919191690e+01,8.672588430672993620e-02
4.232323232323233242e+01,8.496315215714873859e-02
4.272727272727274794e+01,8.310674962422506806e-02
4.313131313131310662e+01,8.116725408360470073e-02
4.353535353535352215e+01,7.915969696092801933e-02
4.393939393939393767e+01,7.710388425941203105e-02
4.434343434343435320e+01,7.502437578680697106e-02
4.474747474747476872e+01,7.294998077507348910e-02
4.515151515151512740e+01,7.091265666938825762e-02
4.555555555555554292e+01,6.894577698515427788e-02
4.595959595959595845e+01,6.708186545776229082e-02
4.636363636363637397e+01,6.535005475509952921e-02
4.676767676767678950e+01,6.377366717203501734e-02
4.717171717171714818e+01,6.236836549697913346e-02
4.757575757575756370e+01,6.114123784429280339e-02
4.797979797979797922e+01,6.009097014094226530e-02
4.838383838383839475e+01,5.920899768264655666e-02
4.878787878787881027e+01,5.848131462709576373e-02
4.919191919191916895e+01,5.789053055790415597e-02
4.959595959595958448e+01,5.741780487269918659e-02
5.000000000000000000e+01,5.704441539563578911e-02
