tem,phirt
1.000000000000000000e+01,1.269696282030990109e-01
1.040404040404041552e+01,1.394930163028222370e-01
1.080808080808083105e+01,1.533532493203549341e-01
1.121212121212118973e+01,1.683419160871383879e-01
1.161616161616160525e+01,1.841710853177049856e-01
1.202020202020202078e+01,2.004951209876663643e-01
1.242424242424243630e+01,2.169414743997653550e-01
1.282828282828285182e+01,2.331447533668064565e-01
1.323232323232321050e+01,2.487776730269378733e-01
1.363636363636362603e+01,2.635737667008444252e-01
1.404040404040404155e+01,2.773393204901827280e-01
1.444444444444445708e+01,2.899547841317525743e-01
1.484848484848487260e+01,3.013679568825792243e-01
1.525252525252523128e+01,3.115821443935267165e-01
1.565656565656564680e+01,3.206423583955270162e-01
1.606060606060606233e+01,3.286218976634681654e-01
1.646464646464647785e+01,3.356107337344867436e-01
1.686868686868689338e+01,3.417063185428467764e-01
1.727272727272725206e+01,3.470068598421756079e-01
1.767676767676766758e+01,3.516067810130832916e-01
1.808080808080808310e+01,3.555939421604156214e-01
1.848484848484849863e+01,3.590481825816601025e-01
1.888888888888891415e+01,3.620407936311657582e-01
1.929292929292927283e+01,3.646346059049737076e-01
1.969696969696968836e+01,3.668844519355457523e-01
2.010101010101010388e+01,3.688378335707243605e-01
2.050505050505051940e+01,3.705356777975518101e-01
2.090909090909087809e+01,3.720131059381627803e-01
2.131313131313129361e+01,3.733001707281311532e-01
2.171717171717170913e+01,3.744225361834127574e-01
2.212121212121212466e+01,3.754020886727819639e-01
2.252525252525254018e+01,3.762574761785045796e-01
2.292929292929295571e+01,3.770045778659174562e-01
2.333333333333331439e+01,3.776569089182596484e-01
2.373737373737372991e+01,3.782259669336367480e-01
2.414141414141414543e+01,3.787215265854661506e-01
2.454545454545456096e+01,3.791518890947521703e-01
2.494949494949491964e+01,3.795240926014257776e-01
2.535353535353533516e+01,3.798440889115955454e-01
2.575757575757575069e+01,3.801168914371241825e-01
2.616161616161616621e+01,3.803466984909109616e-01
2.656565656565658173e+01,3.805369954877904082e-01
2.696969696969699726e+01,3.806906390418049457e-01
2.737373737373735594e+01,3.808099254507128495e-01
2.777777777777777146e+01,3.808966456164787351e-01
2.818181818181818699e+01,3.809521280613644700e-01
2.858585858585860251e+01,3.809772713569097302e-01
2.898989898989896119e+01,3.809725669800568815e-01
2.939393939393937671e+01,3.809381133402782726e-01
2.979797979797979224e+01,3.808736214763514538e-01
3.020202020202020776e+01,3.807784126954297244e-01
3.060606060606062329e+01,3.806514082140078914e-01
3.101010101010103881e+01,3.804911106549281885e-01
3.141414141414139749e+01,3.802955770519259593e-01
3.181818181818181301e+01,3.800623828089491618e-01
3.222222222222222854e+01,3.797885758523806277e-01
3.262626262626264406e+01,3.794706199974660077e-01
3.303030303030300274e+01,3.791043263248981554e-01
3.343434343434341827e+01,3.786847711298745867e-01
3.383838383838383379e+01,3.782061987681147874e-01
3.424242424242424931e+01,3.776619074880431803e-01
3.464646464646466484e+01,3.770441161197928825e-01
3.505050505050508036e+01,3.763438093106937776e-01
3.545454545454543904e+01,3.755505588874532008e-01
3.585858585858585457e+01,3.746523189373202056e-01
3.626262626262627009e+01,3.736351924058406992e-01
3.666666666666668561e+01,3.724831675121634267e-01
3.707070707070704429e+01,3.711778232260732335e-01
3.747474747474745982e+01,3.696980046319378044e-01
3.787878787878787534e+01,3.680194714832045189e-01
3.828282828282829087e+01,3.661145269652748557e-01
3.868686868686870639e+01,3.639516390566260862e-01
3.909090909090912191e+01,3.614950744072977784e-01
3.949494949494948060e+01,3.587045748906577680e-01
3.989898989898989612e+01,3.555351204574221380e-01
4.030303030303031164e+01,3.519368389904391492e-01
4.070707070707072717e+01,3.478551444798871906e-01
4.111111111111108585e+01,3.432312081548985483e-01
4.151515151515150137e+01,3.380028910019768351e-01
4.191919191919191690e+01,3.321062860639819037e-01
4.232323232323233242e+01,3.254780278798139470e-01
4.272727272727274794e+01,3.180585138332476802e-01
4.313131313131310662e+01,3.097961343157874525e-01
4.353535353535352215e+01,3.006525104195947318e-01
4.393939393939393767e+01,2.906085773483834678e-01
4.434343434343435320e+01,2.796711273761304795e-01
4.474747474747476872e+01,2.678791569577573806e-01
4.515151515151512740e+01,2.553090971416728805e-01
4.555555555555554292e+01,2.420778253205376485e-01
4.595959595959595845e+01,2.283423595227338232e-01
4.636363636363637397e+01,2.142954108345559439e-01
4.676767676767678950e+01,2.001565419891282172e-01
4.717171717171714818e+01,1.861594752725354573e-01
4.757575757575756370e+01,1.725369251498074796e-01
4.797979797979797922e+01,1.595049523739367203e-01
4.838383838383839475e+01,1.472490310777728462e-01
4.878787878787881027e+01,1.359137034278348755e-01
4.919191919191916895e+01,1.255969591094673876e-01
4.959595959595958448e+01,1.163495495585076533e-01
5.000000000000000000e+01,1.081785989532398073e-01
