usedRP,phir
1.052912589431677509e-01,4.566618313501585313e-01
1.009573778816235945e-01,4.617969573348243983e-01
1.230550664075371753e-01,4.874354929391875868e-01
1.388498259384613742e-01,5.085203778963832688e-01
1.112447461383685443e-01,4.132496572602423202e-01
8.523521221485572119e-02,2.494859187114850663e-01
8.364772123573377405e-02,2.839112510657531008e-01
8.155703583469277318e-02,2.643208455346899854e-01
7.851201069771618357e-02,2.417241665456313637e-01
6.633693317144895296e-02,2.244960529782088487e-01
6.764765178044157556e-02,2.080205476097022332e-01
