tem,grt
2.062953761655387552e+01,2.718534564051910962e-01
2.335638133298959929e+01,5.986857536084506659e-01
2.671962190352030575e+01,6.393974930222052766e-01
2.860806874836003999e+01,7.996791032946900524e-01
3.040021776428670819e+01,9.614293204279836802e-01
3.209220305242206450e+01,1.082298289926284962e+00
3.417228754676648350e+01,1.186718683255149065e+00
3.678127610834121697e+01,1.335910580445865525e+00
3.854535167366856285e+01,1.445652115102229240e+00
4.045785383146994718e+01,1.318447947336360393e+00
4.252389514136700654e+01,1.389698512703028133e+00
4.461733904393480543e+01,1.371532779445599814e+00
4.514504566841964106e+01,1.013386155568102964e+00
4.647201222901611573e+01,9.121363392421969474e-01
4.834846239865811413e+01,1.670713643596521969e-01
